Setor;Mes;Valor;.pred
COMBUSTÍVEL;2003-02-01;85710898,74;NA
COMBUSTÍVEL;2003-03-01;72072208,65;NA
COMBUSTÍVEL;2003-04-01;130101963,62;NA
COMBUSTÍVEL;2003-05-01;60702206,82;NA
COMBUSTÍVEL;2003-06-01;101644158,11;NA
COMBUSTÍVEL;2003-07-01;89515534,15;NA
COMBUSTÍVEL;2003-08-01;92767309,47;NA
COMBUSTÍVEL;2003-09-01;89326504,91;NA
COMBUSTÍVEL;2003-10-01;108867390,14;NA
COMBUSTÍVEL;2003-11-01;87911163,03;NA
COMBUSTÍVEL;2003-12-01;85825135,72;NA
COMBUSTÍVEL;2004-01-01;85375017,71;NA
COMBUSTÍVEL;2004-02-01;76797910,71;NA
COMBUSTÍVEL;2004-03-01;73341733,43;NA
COMBUSTÍVEL;2004-04-01;94885468,11;NA
COMBUSTÍVEL;2004-05-01;89999004,08;NA
COMBUSTÍVEL;2004-06-01;81121920,33;NA
COMBUSTÍVEL;2004-07-01;95633640,73;NA
COMBUSTÍVEL;2004-08-01;99415793,93;NA
COMBUSTÍVEL;2004-09-01;97024081,44;NA
COMBUSTÍVEL;2004-10-01;108436484,97;NA
COMBUSTÍVEL;2004-11-01;98346506,32;NA
COMBUSTÍVEL;2004-12-01;82265547,16;NA
COMBUSTÍVEL;2005-01-01;100248056,21;NA
COMBUSTÍVEL;2005-02-01;74069089,47;NA
COMBUSTÍVEL;2005-03-01;82367563,87;NA
COMBUSTÍVEL;2005-04-01;91826617,28;NA
COMBUSTÍVEL;2005-05-01;94199646,34;NA
COMBUSTÍVEL;2005-06-01;85253384,84;NA
COMBUSTÍVEL;2005-07-01;88937285,66;NA
COMBUSTÍVEL;2005-08-01;88279356,31;NA
COMBUSTÍVEL;2005-09-01;94623030,64;NA
COMBUSTÍVEL;2005-10-01;98981791,74;NA
COMBUSTÍVEL;2005-11-01;102527699,84;NA
COMBUSTÍVEL;2005-12-01;113291321,38;NA
COMBUSTÍVEL;2006-01-01;94164487,42;NA
COMBUSTÍVEL;2006-02-01;146220219,08;NA
COMBUSTÍVEL;2006-03-01;106704900,84;NA
COMBUSTÍVEL;2006-04-01;40063999,67;NA
COMBUSTÍVEL;2006-05-01;102442072,71;NA
